HomoloGene ID,Common Organism Name,NCBI Taxon ID,Symbol
279,human,9606,RS1
281,"mouse, laboratory",10090,Atxn1
281,human,9606,ATXN1
283,"mouse, laboratory",10090,Scn4a
283,human,9606,SCN4A
285,"mouse, laboratory",10090,Sgcd
285,human,9606,SGCD
286,"mouse, laboratory",10090,Slc12a1
286,human,9606,SLC12A1
287,"mouse, laboratory",10090,Slc12a3
287,human,9606,SLC12A3
292,"mouse, laboratory",10090,Smn1
292,human,9606,SMN1
292,human,9606,SMN2
293,"mouse, laboratory",10090,Snca
293,human,9606,SNCA
294,"mouse, laboratory",10090,Sox9
294,human,9606,SOX9
295,"mouse, laboratory",10090,Sptb
295,human,9606,SPTB
297,"mouse, laboratory",10090,Star
297,human,9606,STAR
298,"mouse, laboratory",10090,Abca4
298,human,9606,ABCA4
303,"mouse, laboratory",10090,Tcn2
303,human,9606,TCN2
306,"mouse, laboratory",10090,Tgm1
306,human,9606,TGM1
307,"mouse, laboratory",10090,Th
307,human,9606,TH
308,"mouse, laboratory",10090,Thbd
308,human,9606,THBD
309,"mouse, laboratory",10090,Tnni3
309,human,9606,TNNI3
313,"mouse, laboratory",10090,Tpmt
313,human,9606,TPMT
314,"mouse, laboratory",10090,Tsc1
314,human,9606,TSC1
315,"mouse, laboratory",10090,Tshr
315,human,9606,TSHR
317,"mouse, laboratory",10090,Ttr
317,human,9606,TTR
319,"mouse, laboratory",10090,Umps
319,human,9606,UMPS
320,"mouse, laboratory",10090,Urod
320,human,9606,UROD
324,"mouse, laboratory",10090,Xdh
324,human,9606,XDH
327,"mouse, laboratory",10090,Aire
327,human,9606,AIRE
328,"mouse, laboratory",10090,Apob
328,human,9606,APOB
330,"mouse, laboratory",10090,Blmh
330,human,9606,BLMH
331,"mouse, laboratory",10090,Slc25a20
331,human,9606,SLC25A20
332,"mouse, laboratory",10090,Casr
332,human,9606,CASR
333,"mouse, laboratory",10090,Cdkn1a
333,human,9606,CDKN1A
334,"mouse, laboratory",10090,Chm
334,human,9606,CHM
335,"mouse, laboratory",10090,Tpp1
335,human,9606,TPP1
339,"mouse, laboratory",10090,Csf2rb
339,"mouse, laboratory",10090,Csf2rb2
339,human,9606,CSF2RB
344,"mouse, laboratory",10090,Ercc2
344,human,9606,ERCC2
345,"mouse, laboratory",10090,Ext2
345,human,9606,EXT2
347,"mouse, laboratory",10090,Gale
347,human,9606,GALE
349,"mouse, laboratory",10090,Gm2a
349,human,9606,GM2A
350,"mouse, laboratory",10090,Gnrhr
350,human,9606,GNRHR
352,"mouse, laboratory",10090,Gpd2
352,human,9606,GPD2
353,"mouse, laboratory",10090,Guca1a
353,human,9606,GUCA1A
358,"mouse, laboratory",10090,Hsd17b4
358,human,9606,HSD17B4
359,"mouse, laboratory",10090,Ifngr1
359,human,9606,IFNGR1
360,"mouse, laboratory",10090,Il2ra
360,human,9606,IL2RA
362,"mouse, laboratory",10090,Kel
362,human,9606,KEL
363,"mouse, laboratory",10090,Krt17
363,human,9606,KRT17
369,"mouse, laboratory",10090,Ltbp2
369,human,9606,LTBP2
371,"mouse, laboratory",10090,Pafah1b1
371,human,9606,PAFAH1B1
372,"mouse, laboratory",10090,Mvk
372,human,9606,MVK
374,"mouse, laboratory",10090,Ncf2
374,human,9606,NCF2
375,"mouse, laboratory",10090,Neu1
375,human,9606,NEU1
376,"mouse, laboratory",10090,Notch3
376,human,9606,NOTCH3
377,"mouse, laboratory",10090,Oxct1
377,human,9606,OXCT1
379,"mouse, laboratory",10090,Pcsk1
379,human,9606,PCSK1
380,"mouse, laboratory",10090,Pde6a
380,human,9606,PDE6A
384,"mouse, laboratory",10090,Plec
384,human,9606,PLEC
385,"mouse, laboratory",10090,Pon2
385,human,9606,PON2
386,"mouse, laboratory",10090,Psen2
386,human,9606,PSEN2
387,"mouse, laboratory",10090,Rag1
387,human,9606,RAG1
388,"mouse, laboratory",10090,Rfx5
388,human,9606,RFX5
389,"mouse, laboratory",10090,Sele
389,human,9606,SELE
390,"mouse, laboratory",10090,Slc10a2
390,human,9606,SLC10A2
392,"mouse, laboratory",10090,Sod1
392,human,9606,SOD1
393,"mouse, laboratory",10090,Stk11
393,human,9606,STK11
394,"mouse, laboratory",10090,Suox
394,human,9606,SUOX
395,"mouse, laboratory",10090,Hnf4a
395,human,9606,HNF4A
396,"mouse, laboratory",10090,Hnf1b
396,human,9606,HNF1B
397,"mouse, laboratory",10090,Tek
397,human,9606,TEK
398,"mouse, laboratory",10090,Thpo
398,human,9606,THPO
400,"mouse, laboratory",10090,Bard1
400,human,9606,BARD1
402,"mouse, laboratory",10090,Twist1
402,human,9606,TWIST1
403,"mouse, laboratory",10090,Nr0b1
403,human,9606,NR0B1
405,"mouse, laboratory",10090,Alb
405,human,9606,ALB
408,"mouse, laboratory",10090,Ampd3
408,human,9606,AMPD3
409,"mouse, laboratory",10090,Amt
409,human,9606,AMT
413,"mouse, laboratory",10090,Aprt
413,human,9606,APRT
416,"mouse, laboratory",10090,Atrx
416,human,9606,ATRX
417,"mouse, laboratory",10090,Avp
417,human,9606,AVP
418,"mouse, laboratory",10090,C1qb
418,human,9606,C1QB
420,"mouse, laboratory",10090,Crybb2
420,human,9606,CRYBB2
425,"mouse, laboratory",10090,F12
425,human,9606,F12
426,"mouse, laboratory",10090,F2
426,human,9606,F2
428,"mouse, laboratory",10090,Fga
428,human,9606,FGA
429,"mouse, laboratory",10090,Fgg
429,human,9606,FGG
430,"mouse, laboratory",10090,Fshb
430,human,9606,FSHB
431,"mouse, laboratory",10090,Sec1
433,"mouse, laboratory",10090,Gdnf
433,human,9606,GDNF
437,"mouse, laboratory",10090,Hexb
437,human,9606,HEXB
441,"mouse, laboratory",10090,Kcnj11
441,human,9606,KCNJ11
443,"mouse, laboratory",10090,Vldlr
443,human,9606,VLDLR
444,"mouse, laboratory",10090,Mc2r
444,human,9606,MC2R
445,"mouse, laboratory",10090,Mpz
445,human,9606,MPZ
446,"mouse, laboratory",10090,Otc
446,human,9606,OTC
447,"mouse, laboratory",10090,Pccb
447,human,9606,PCCB
448,"mouse, laboratory",10090,Plp1
448,human,9606,PLP1
449,"mouse, laboratory",10090,Pms1
449,human,9606,PMS1
450,"mouse, laboratory",10090,Pms2
450,human,9606,PMS2
452,"mouse, laboratory",10090,Rfxap
452,human,9606,RFXAP
455,"mouse, laboratory",10090,Sag
455,human,9606,SAG
456,"mouse, laboratory",10090,Sftpb
456,human,9606,SFTPB
457,"mouse, laboratory",10090,Smpd1
457,human,9606,SMPD1
459,"mouse, laboratory",10090,Hnf1a
459,human,9606,HNF1A
460,"mouse, laboratory",10090,Trp53
460,human,9606,TP53
461,"mouse, laboratory",10090,Tpo
461,human,9606,TPO
462,"mouse, laboratory",10090,Tsc2
462,human,9606,TSC2
463,"mouse, laboratory",10090,Tshb
463,human,9606,TSHB
464,"mouse, laboratory",10090,Tyrp1
464,human,9606,TYRP1
465,"mouse, laboratory",10090,Vhl
465,human,9606,VHL
466,"mouse, laboratory",10090,Vwf
466,human,9606,VWF
467,"mouse, laboratory",10090,Crx
467,human,9606,CRX
468,"mouse, laboratory",10090,Gdf5
468,human,9606,GDF5
469,"mouse, laboratory",10090,Hba-a1
469,"mouse, laboratory",10090,Hba-a2
469,human,9606,HBA1
469,human,9606,HBA2
472,"mouse, laboratory",10090,C8a
472,human,9606,C8A
473,"mouse, laboratory",10090,Il5ra
473,human,9606,IL5RA
474,"mouse, laboratory",10090,Il6ra
474,human,9606,IL6R
475,"mouse, laboratory",10090,Fcgr1
475,human,9606,FCGR1A
477,"mouse, laboratory",10090,Fcgr4
477,human,9606,FCGR3A
478,"mouse, laboratory",10090,Il10
478,human,9606,IL10
479,human,9606,CD55
480,"mouse, laboratory",10090,Il1a
480,human,9606,IL1A
481,"mouse, laboratory",10090,Il1b
481,human,9606,IL1B
486,"mouse, laboratory",10090,Gc
486,human,9606,GC
487,"mouse, laboratory",10090,Il15
487,human,9606,IL15
488,"mouse, laboratory",10090,Il2
488,human,9606,IL2
489,"mouse, laboratory",10090,C7
489,human,9606,C7
491,"mouse, laboratory",10090,Il4
491,human,9606,IL4
492,"mouse, laboratory",10090,Il9
492,human,9606,IL9
493,"mouse, laboratory",10090,Cd14
493,human,9606,CD14
495,"mouse, laboratory",10090,Tap1
495,human,9606,TAP1
496,"mouse, laboratory",10090,Tnf
496,human,9606,TNF
497,"mouse, laboratory",10090,Lta
497,human,9606,LTA
498,"mouse, laboratory",10090,Igfbp1
498,human,9606,IGFBP1
499,"mouse, laboratory",10090,Igfbp2
499,human,9606,IGFBP2
500,"mouse, laboratory",10090,Igfbp3
500,human,9606,IGFBP3
502,"mouse, laboratory",10090,Il6
502,human,9606,IL6
503,"mouse, laboratory",10090,Hgf
503,human,9606,HGF
504,"mouse, laboratory",10090,Nos3
504,human,9606,NOS3
505,"mouse, laboratory",10090,C8g
505,human,9606,C8G
507,"mouse, laboratory",10090,Cxcl12
508,"mouse, laboratory",10090,Cd44
508,human,9606,CD44
510,"mouse, laboratory",10090,Igf2
510,human,9606,IGF2
511,"mouse, laboratory",10090,Hpx
511,human,9606,HPX
513,"mouse, laboratory",10090,Cd4
513,human,9606,CD4
515,"mouse, laboratory",10090,Igf1
515,human,9606,IGF1
519,"mouse, laboratory",10090,Bdkrb2
519,human,9606,BDKRB2
521,"mouse, laboratory",10090,Cd79b
521,human,9606,CD79B
522,"mouse, laboratory",10090,Ltbp1
522,human,9606,LTBP1
523,"mouse, laboratory",10090,Il10rb
523,human,9606,IL10RB
524,"mouse, laboratory",10090,Ifnar1
524,human,9606,IFNAR1
525,"mouse, laboratory",10090,Ncf4
525,human,9606,NCF4
526,"mouse, laboratory",10090,Itgam
526,human,9606,ITGAM
527,"mouse, laboratory",10090,Bcl2
527,human,9606,BCL2
530,"mouse, laboratory",10090,Sod2
530,human,9606,SOD2
531,"mouse, laboratory",10090,Gsr
531,human,9606,GSR
532,"mouse, laboratory",10090,Vtn
532,human,9606,VTN
533,"mouse, laboratory",10090,Fasl
533,human,9606,FASLG
534,"mouse, laboratory",10090,Il13ra2
534,human,9606,IL13RA2
535,"mouse, laboratory",10090,Il11
535,human,9606,IL11
536,"mouse, laboratory",10090,Agl
536,human,9606,AGL
537,"mouse, laboratory",10090,Ccr2
537,human,9606,CCR2
539,"mouse, laboratory",10090,Sell
539,human,9606,SELL
540,"mouse, laboratory",10090,Tgfb1
540,human,9606,TGFB1
542,"mouse, laboratory",10090,Abat
542,human,9606,ABAT
543,"mouse, laboratory",10090,Ache
543,human,9606,ACHE
550,"mouse, laboratory",10090,Adora3
550,human,9606,ADORA3
551,"mouse, laboratory",10090,Adra1d
551,human,9606,ADRA1D
553,"mouse, laboratory",10090,Adra2b
553,human,9606,ADRA2B
554,"mouse, laboratory",10090,Ahcy
554,human,9606,AHCY
560,"mouse, laboratory",10090,Alox12
560,human,9606,ALOX12
561,"mouse, laboratory",10090,Alox5
561,human,9606,ALOX5
563,"mouse, laboratory",10090,Anxa1
563,human,9606,ANXA1
564,"mouse, laboratory",10090,Atp1a1
564,human,9606,ATP1A1
568,"mouse, laboratory",10090,Avpr1a
568,human,9606,AVPR1A
569,"mouse, laboratory",10090,Bckdha
569,human,9606,BCKDHA
570,"mouse, laboratory",10090,Bdkrb1
570,human,9606,BDKRB1
572,"mouse, laboratory",10090,Blvra
572,human,9606,BLVRA
573,"mouse, laboratory",10090,Blvrb
573,human,9606,BLVRB
574,"mouse, laboratory",10090,Tspo
574,human,9606,TSPO
578,"mouse, laboratory",10090,Cacna1d
578,human,9606,CACNA1D
579,"mouse, laboratory",10090,Cacna2d1
579,human,9606,CACNA2D1
582,"mouse, laboratory",10090,Cacng1
582,human,9606,CACNG1
583,"mouse, laboratory",10090,Cck
583,human,9606,CCK
585,"mouse, laboratory",10090,Cd3d
585,human,9606,CD3D
586,"mouse, laboratory",10090,Cd3e
586,human,9606,CD3E
587,"mouse, laboratory",10090,Cga
587,human,9606,CGA
591,"mouse, laboratory",10090,Chrna3
591,human,9606,CHRNA3
592,"mouse, laboratory",10090,Chrna4
592,human,9606,CHRNA4
593,"mouse, laboratory",10090,Chrna7
593,human,9606,CHRNA7
594,"mouse, laboratory",10090,Chrnb1
594,human,9606,CHRNB1
595,"mouse, laboratory",10090,Chrnb2
595,human,9606,CHRNB2
598,"mouse, laboratory",10090,Crat
598,human,9606,CRAT
599,"mouse, laboratory",10090,Crh
599,human,9606,CRH
600,"mouse, laboratory",10090,Csf2
600,human,9606,CSF2
601,"mouse, laboratory",10090,Csf3r
601,human,9606,CSF3R
615,"mouse, laboratory",10090,Dbh
615,human,9606,DBH
616,"mouse, laboratory",10090,Dck
616,human,9606,DCK
618,"mouse, laboratory",10090,Ddc
618,human,9606,DDC
620,"mouse, laboratory",10090,Dio1
620,human,9606,DIO1
621,"mouse, laboratory",10090,Dio2
621,human,9606,DIO2
623,"mouse, laboratory",10090,Drd3
623,human,9606,DRD3
624,"mouse, laboratory",10090,Epo
624,human,9606,EPO
625,"mouse, laboratory",10090,Fgf1
625,human,9606,FGF1
627,"mouse, laboratory",10090,Folr2
627,human,9606,FOLR2
628,"mouse, laboratory",10090,Gast
628,human,9606,GAST
629,"mouse, laboratory",10090,Gabra1
629,human,9606,GABRA1
631,"mouse, laboratory",10090,Gabra4
631,human,9606,GABRA4
633,"mouse, laboratory",10090,Gabrb3
633,human,9606,GABRB3
635,"mouse, laboratory",10090,Gad1
635,human,9606,GAD1
637,"mouse, laboratory",10090,Gart
637,human,9606,GART
638,"mouse, laboratory",10090,Gas6
638,human,9606,GAS6
639,"mouse, laboratory",10090,Ggcx
639,human,9606,GGCX
640,"mouse, laboratory",10090,Ghrhr
640,human,9606,GHRHR
641,"mouse, laboratory",10090,Gnrh1
641,human,9606,GNRH1
645,"mouse, laboratory",10090,Grin2a
645,human,9606,GRIN2A
646,"mouse, laboratory",10090,Grin2b
646,human,9606,GRIN2B
647,"mouse, laboratory",10090,Grin2c
647,human,9606,GRIN2C
648,"mouse, laboratory",10090,Grin2d
648,human,9606,GRIN2D
649,"mouse, laboratory",10090,Grm1
649,human,9606,GRM1
651,"mouse, laboratory",10090,Grm3
651,human,9606,GRM3
654,"mouse, laboratory",10090,Grm8
654,human,9606,GRM8
658,"mouse, laboratory",10090,Gstm5
658,human,9606,GSTM3
660,"mouse, laboratory",10090,Gm3934
660,"mouse, laboratory",10090,Gstp1
660,"mouse, laboratory",10090,Gstp2
660,human,9606,GSTP1
664,"mouse, laboratory",10090,Gucy1b3
664,human,9606,GUCY1B3
665,"mouse, laboratory",10090,Guk1
665,human,9606,GUK1
668,"mouse, laboratory",10090,Hrh1
668,human,9606,HRH1
669,"mouse, laboratory",10090,Htr1b
669,human,9606,HTR1B
671,"mouse, laboratory",10090,Htr3a
671,human,9606,HTR3A
673,"mouse, laboratory",10090,Htr6
673,human,9606,HTR6
675,"mouse, laboratory",10090,Icam2
675,human,9606,ICAM2
676,"mouse, laboratory",10090,Igf2r
676,human,9606,IGF2R
677,"mouse, laboratory",10090,Il1r1
677,human,9606,IL1R1
679,"mouse, laboratory",10090,Il5
679,human,9606,IL5
680,"mouse, laboratory",10090,Il7
680,human,9606,IL7
681,"mouse, laboratory",10090,Il12a
681,human,9606,IL12A
685,"mouse, laboratory",10090,Itgb6
685,human,9606,ITGB6
692,"mouse, laboratory",10090,Kitl
692,human,9606,KITLG
693,"mouse, laboratory",10090,Mgp
693,human,9606,MGP
695,"mouse, laboratory",10090,Nqo1
695,human,9606,NQO1
696,"mouse, laboratory",10090,Nqo2
696,human,9606,NQO2
697,"mouse, laboratory",10090,Npy
697,human,9606,NPY
699,"mouse, laboratory",10090,Npr3
699,human,9606,NPR3
700,"mouse, laboratory",10090,Npy1r
700,human,9606,NPY1R
701,"mouse, laboratory",10090,Npy2r
701,human,9606,NPY2R
708,"mouse, laboratory",10090,Pde3a
708,human,9606,PDE3A
709,"mouse, laboratory",10090,Pde3b
709,human,9606,PDE3B
712,"mouse, laboratory",10090,Pdhb
712,human,9606,PDHB
713,"mouse, laboratory",10090,Pgr
713,human,9606,PGR
715,"mouse, laboratory",10090,Pla2g1b
715,human,9606,PLA2G1B
716,"mouse, laboratory",10090,Pla2g5
716,human,9606,PLA2G5
717,"mouse, laboratory",10090,Plat
717,human,9606,PLAT
719,"mouse, laboratory",10090,Serpinf2
719,human,9606,SERPINF2
721,"mouse, laboratory",10090,Polr2a
721,human,9606,POLR2A
722,"mouse, laboratory",10090,Polr2b
722,human,9606,POLR2B
723,"mouse, laboratory",10090,Pomc
723,human,9606,POMC
725,"mouse, laboratory",10090,Por
725,human,9606,POR
726,"mouse, laboratory",10090,Ppib
726,human,9606,PPIB
727,"mouse, laboratory",10090,Ppic
727,human,9606,PPIC
730,"mouse, laboratory",10090,Prim1
730,human,9606,PRIM1
731,"mouse, laboratory",10090,Prim2
732,"mouse, laboratory",10090,Prl
732,human,9606,PRL
733,"mouse, laboratory",10090,Prlr
733,human,9606,PRLR
734,"mouse, laboratory",10090,Prrg1
734,human,9606,PRRG1
735,"mouse, laboratory",10090,Prrg2
735,human,9606,PRRG2
736,"mouse, laboratory",10090,Ptgdr
736,human,9606,PTGDR
737,"mouse, laboratory",10090,Ptgds
